plotpoint_hi	isotype
141	AB1
213	BRC20067
194	BRC20263
142	CB4852
198	CB4854
335	CB4856
149	CB4932
227	CX11254
246	CX11262
241	CX11264
116	CX11271
226	CX11276
265	CX11285
231	CX11292
228	CX11307
243	CX11314
242	CX11315
88	DL200
261	DL226
337	DL238
22	ECA1069
21	ECA1074
369	ECA1185
338	ECA1186
363	ECA1191
365	ECA1193
364	ECA1194
366	ECA1195
398	ECA1208
393	ECA1216
402	ECA1223
403	ECA1225
395	ECA1228
376	ECA1229
372	ECA1232
383	ECA1237
373	ECA1238
371	ECA1240
367	ECA1242
390	ECA1247
368	ECA1251
374	ECA1253
290	ECA1255
291	ECA1257
343	ECA1260
379	ECA1261
344	ECA1269
342	ECA1271
388	ECA1276
389	ECA1278
400	ECA1281
391	ECA1283
387	ECA1284
377	ECA1286
375	ECA1287
340	ECA1288
378	ECA1289
396	ECA1293
287	ECA1298
247	ECA1413
352	ECA1465
351	ECA1467
353	ECA1493
350	ECA1515
286	ECA189
381	ECA191
181	CB4851
234	CB4853
259	CB4855
235	CB4857
239	CB4858
245	PB306
401	ECA2677
392	ECA2678
397	ECA2679
345	ECA2686
370	ECA347
268	ECA348
237	ECA349
360	ECA36
355	ECA363
347	ECA369
271	ECA372
385	ECA396
273	ECA592
332	ECA593
314	ECA594
270	ECA640
348	ECA701
336	ECA703
288	ECA705
334	ECA706
292	ECA710
276	ECA712
386	ECA722
384	ECA723
354	ECA724
382	ECA730
341	ECA732
339	ECA733
274	ECA738
356	ECA740
357	ECA741
358	ECA742
284	ECA743
394	ECA744
399	ECA745
380	ECA746
281	ECA760
279	ECA768
282	ECA777
280	ECA778
277	ECA807
278	ECA812
262	ECA923
263	ECA928
250	ECA930
256	ED3005
249	ED3011
165	ED3012
19	ED3017
209	ED3040
114	ED3046
206	ED3048
115	ED3049
208	ED3052
183	ED3073
211	ED3077
145	EG4347
75	EG4349
5	EG4724
7	EG4725
233	EG4946
64	GXW1
17	JT11398
62	JU1088
240	JU1172
164	JU1200
176	JU1212
103	JU1213
109	JU1242
98	JU1246
179	JU1249
143	JU1395
303	JU1400
224	JU1409
295	JU1440
36	JU1491
85	JU1530
166	JU1543
170	JU1568
97	JU1581
173	JU1586
137	JU1652
301	JU1666
150	JU1792
99	JU1793
72	JU1808
139	JU1896
106	JU1934
300	JU2001
1	JU2007
232	JU2016
258	JU2017
157	JU2106
302	JU2131
107	JU2141
138	JU2234
112	JU2250
177	JU2257
51	JU2316
122	JU2464
214	JU2466
230	JU2478
185	JU2513
47	JU2519
33	JU2522
52	JU2526
87	JU2534
178	JU2565
147	JU2566
110	JU2570
148	JU2572
153	JU2575
30	JU2576
200	JU2578
9	JU258
311	JU2581
3	JU2586
76	JU2587
168	JU2592
79	JU2593
101	JU2600
102	JU2610
184	JU2619
140	JU2800
195	JU2811
180	JU2825
312	JU2829
310	JU2838
54	JU2841
133	JU2853
225	JU2862
238	JU2866
293	JU2878
313	JU2879
94	JU2906
167	JU2907
86	JU310
155	JU311
134	JU3125
135	JU3127
186	JU3128
104	JU3132
56	JU3134
70	JU3135
299	JU3137
111	JU3140
151	JU3141
57	JU3144
14	JU3166
15	JU3167
16	JU3169
126	JU3224
58	JU3225
361	JU3226
127	JU3228
89	JU323
61	JU3280
63	JU3282
100	JU3291
124	JU3318
91	JU346
74	JU360
174	JU367
96	JU393
182	JU394
108	JU397
171	JU406
172	JU440
136	JU561
82	JU642
80	JU751
128	JU774
49	JU775
39	JU778
41	JU782
113	JU792
77	JU830
90	JU847
248	KR314
210	LKC34
189	MY1
125	MY10
315	MY16
252	MY18
95	MY2147
187	MY2212
316	MY23
156	MY2453
24	MY2530
26	MY2535
161	MY2573
66	MY2585
69	MY2693
71	MY2713
68	MY2741
251	MY518
23	MY679
93	MY772
253	MY795
25	MY920
175	N2
20	NIC1
162	NIC1049
169	NIC1107
123	NIC1119
199	NIC166
117	NIC1779
320	NIC1780
323	NIC1783
321	NIC1785
330	NIC1786
318	NIC1787
328	NIC1788
331	NIC1789
327	NIC1794
325	NIC1796
322	NIC1798
329	NIC1799
324	NIC1801
326	NIC1802
308	NIC1805
319	NIC1806
305	NIC1808
307	NIC1809
304	NIC1810
309	NIC1811
306	NIC1812
78	NIC1832
11	NIC195
10	NIC199
163	NIC2
31	NIC207
207	NIC231
37	NIC236
28	NIC242
12	NIC251
6	NIC252
29	NIC255
44	NIC256
48	NIC258
32	NIC259
46	NIC260
42	NIC261
43	NIC262
50	NIC265
8	NIC266
201	NIC267
317	NIC268
13	NIC269
45	NIC271
204	NIC272
203	NIC274
60	NIC275
205	NIC276
83	NIC277
84	NIC3
105	NIC501
92	NIC511
38	NIC513
34	NIC514
4	NIC515
296	NIC522
40	NIC523
297	NIC526
298	NIC527
294	NIC528
81	NIC529
65	PB303
269	PS2025
146	PX179
2	QG2075
152	QG2811
193	QG2813
212	QG2818
119	QG2823
118	QG2824
120	QG2825
196	QG2827
197	QG2828
131	QG2832
130	QG2835
129	QG2836
132	QG2837
191	QG2838
202	QG2841
216	QG2843
192	QG2846
217	QG2850
219	QG2854
220	QG2855
221	QG2857
222	QG2873
223	QG2874
53	QG2875
218	QG2877
215	QG2932
59	QG536
267	QG556
266	QG557
121	QW947
359	QX1211
264	QX1212
260	QX1233
346	QX1791
283	QX1792
289	QX1793
285	QX1794
67	RC301
255	TWN2530
257	TWN2542
73	WN2001
55	WN2002
254	WN2033
158	WN2050
35	WN2063
160	WN2064
154	WN2066
27	WN2068
159	WN2069
272	XZ1513
362	XZ1514
244	XZ1515
349	XZ1516
229	XZ1672
188	XZ1734
190	XZ1735
236	XZ1756
144	XZ2018
333	XZ2019
18	XZ2020
275	XZ2211
