isotype	n_swept_chr	genotype
AB1	4	swept
BRC20067	3	swept
BRC20263	3	swept
CB4851	2	swept
CB4852	4	swept
CB4853	4	swept
CB4854	4	swept
CB4855	1	swept
CB4856	0	divergent
CB4857	2	swept
CB4858	4	swept
CB4932	2	swept
CX11254	2	swept
CX11262	2	swept
CX11264	2	swept
CX11271	3	swept
CX11276	3	swept
CX11285	2	swept
CX11292	4	swept
CX11307	2	swept
CX11314	4	swept
CX11315	3	swept
DL200	3	swept
DL226	3	swept
DL238	0	divergent
ECA1069	3	swept
ECA1074	3	swept
ECA1185	0	divergent
ECA1186	0	divergent
ECA1191	0	divergent
ECA1193	0	divergent
ECA1194	0	divergent
ECA1195	0	divergent
ECA1208	0	divergent
ECA1216	0	divergent
ECA1223	0	divergent
ECA1225	0	divergent
ECA1228	0	divergent
ECA1229	0	divergent
ECA1232	0	divergent
ECA1237	0	divergent
ECA1238	0	divergent
ECA1240	0	divergent
ECA1242	0	divergent
ECA1247	0	divergent
ECA1251	0	divergent
ECA1253	0	divergent
ECA1255	0	divergent
ECA1257	0	divergent
ECA1260	0	divergent
ECA1261	0	divergent
ECA1269	0	divergent
ECA1271	0	divergent
ECA1276	0	divergent
ECA1278	0	divergent
ECA1281	0	divergent
ECA1283	0	divergent
ECA1284	0	divergent
ECA1286	0	divergent
ECA1287	0	divergent
ECA1288	0	divergent
ECA1289	0	divergent
ECA1293	0	divergent
ECA1298	0	divergent
ECA1413	1	swept
ECA1465	0	divergent
ECA1467	0	divergent
ECA1493	0	divergent
ECA1515	0	divergent
ECA189	0	divergent
ECA191	0	divergent
ECA2677	0	divergent
ECA2678	0	divergent
ECA2679	0	divergent
ECA2686	0	divergent
ECA347	0	divergent
ECA348	0	divergent
ECA349	3	swept
ECA36	0	divergent
ECA363	0	divergent
ECA369	0	divergent
ECA372	0	divergent
ECA396	0	divergent
ECA592	1	swept
ECA593	0	divergent
ECA594	1	swept
ECA640	2	swept
ECA701	0	divergent
ECA703	0	divergent
ECA705	0	divergent
ECA706	0	divergent
ECA710	0	divergent
ECA712	0	divergent
ECA722	0	divergent
ECA723	0	divergent
ECA724	0	divergent
ECA730	0	divergent
ECA732	0	divergent
ECA733	0	divergent
ECA738	0	divergent
ECA740	0	divergent
ECA741	0	divergent
ECA742	0	divergent
ECA743	0	divergent
ECA744	0	divergent
ECA745	0	divergent
ECA746	0	divergent
ECA760	0	divergent
ECA768	0	divergent
ECA777	0	divergent
ECA778	0	divergent
ECA807	0	divergent
ECA812	0	divergent
ECA923	2	swept
ECA928	1	swept
ECA930	2	swept
ED3005	2	swept
ED3011	3	swept
ED3012	4	swept
ED3017	4	swept
ED3040	3	swept
ED3046	0	divergent
ED3048	4	swept
ED3049	0	divergent
ED3052	3	swept
ED3073	4	swept
ED3077	4	swept
EG4347	3	swept
EG4349	3	swept
EG4724	2	swept
EG4725	0	divergent
EG4946	4	swept
GXW1	3	swept
JT11398	3	swept
JU1088	3	swept
JU1172	4	swept
JU1200	4	swept
JU1212	1	swept
JU1213	2	swept
JU1242	3	swept
JU1246	1	swept
JU1249	3	swept
JU1395	4	swept
JU1400	2	swept
JU1409	4	swept
JU1440	4	swept
JU1491	2	swept
JU1530	3	swept
JU1543	4	swept
JU1568	4	swept
JU1581	1	swept
JU1586	4	swept
JU1652	3	swept
JU1666	2	swept
JU1792	3	swept
JU1793	1	swept
JU1808	2	swept
JU1896	2	swept
JU1934	2	swept
JU2001	2	swept
JU2007	3	swept
JU2016	4	swept
JU2017	2	swept
JU2106	1	swept
JU2131	2	swept
JU2141	2	swept
JU2234	3	swept
JU2250	2	swept
JU2257	2	swept
JU2316	0	divergent
JU2464	4	swept
JU2466	4	swept
JU2478	3	swept
JU2513	4	swept
JU2519	1	swept
JU2522	1	swept
JU2526	0	divergent
JU2534	3	swept
JU2565	2	swept
JU2566	3	swept
JU2570	2	swept
JU2572	3	swept
JU2575	3	swept
JU2576	1	swept
JU2578	3	swept
JU258	0	divergent
JU2581	2	swept
JU2586	2	swept
JU2587	3	swept
JU2592	3	swept
JU2593	2	swept
JU2600	2	swept
JU2610	2	swept
JU2619	3	swept
JU2800	2	swept
JU2811	2	swept
JU2825	2	swept
JU2829	3	swept
JU2838	2	swept
JU2841	3	swept
JU2853	3	swept
JU2862	3	swept
JU2866	3	swept
JU2878	4	swept
JU2879	2	swept
JU2906	4	swept
JU2907	3	swept
JU310	3	swept
JU311	2	swept
JU3125	4	swept
JU3127	4	swept
JU3128	3	swept
JU3132	2	swept
JU3134	2	swept
JU3135	3	swept
JU3137	3	swept
JU3140	2	swept
JU3141	2	swept
JU3144	4	swept
JU3166	0	divergent
JU3167	0	divergent
JU3169	0	divergent
JU3224	3	swept
JU3225	3	swept
JU3226	0	divergent
JU3228	2	swept
JU323	3	swept
JU3280	3	swept
JU3282	4	swept
JU3291	2	swept
JU3318	4	swept
JU346	2	swept
JU360	3	swept
JU367	3	swept
JU393	2	swept
JU394	2	swept
JU397	2	swept
JU406	2	swept
JU440	4	swept
JU561	4	swept
JU642	3	swept
JU751	2	swept
JU774	4	swept
JU775	1	swept
JU778	2	swept
JU782	2	swept
JU792	2	swept
JU830	3	swept
JU847	2	swept
KR314	4	swept
LKC34	2	swept
MY1	3	swept
MY10	4	swept
MY16	0	divergent
MY18	1	swept
MY2147	1	swept
MY2212	3	swept
MY23	0	divergent
MY2453	1	swept
MY2530	4	swept
MY2535	3	swept
MY2573	2	swept
MY2585	3	swept
MY2693	3	swept
MY2713	3	swept
MY2741	2	swept
MY518	2	swept
MY679	4	swept
MY772	1	swept
MY795	2	swept
MY920	4	swept
N2	3	swept
NIC1	4	swept
NIC1049	3	swept
NIC1107	2	swept
NIC1119	4	swept
NIC166	2	swept
NIC1779	4	swept
NIC1780	1	swept
NIC1783	1	swept
NIC1785	0	divergent
NIC1786	0	divergent
NIC1787	0	divergent
NIC1788	0	divergent
NIC1789	0	divergent
NIC1794	0	divergent
NIC1796	0	divergent
NIC1798	2	swept
NIC1799	0	divergent
NIC1801	0	divergent
NIC1802	0	divergent
NIC1805	1	swept
NIC1806	0	divergent
NIC1808	3	swept
NIC1809	3	swept
NIC1810	1	swept
NIC1811	1	swept
NIC1812	3	swept
NIC1832	4	swept
NIC195	0	divergent
NIC199	1	swept
NIC2	4	swept
NIC207	4	swept
NIC231	3	swept
NIC236	1	swept
NIC242	3	swept
NIC251	0	divergent
NIC252	0	divergent
NIC255	4	swept
NIC256	2	swept
NIC258	1	swept
NIC259	2	swept
NIC260	3	swept
NIC261	2	swept
NIC262	2	swept
NIC265	0	divergent
NIC266	0	divergent
NIC267	2	swept
NIC268	0	divergent
NIC269	2	swept
NIC271	2	swept
NIC272	1	swept
NIC274	2	swept
NIC275	4	swept
NIC276	2	swept
NIC277	3	swept
NIC3	3	swept
NIC501	1	swept
NIC511	2	swept
NIC513	1	swept
NIC514	2	swept
NIC515	3	swept
NIC522	2	swept
NIC523	2	swept
NIC526	2	swept
NIC527	2	swept
NIC528	3	swept
NIC529	3	swept
PB303	4	swept
PB306	1	swept
PS2025	1	swept
PX179	3	swept
QG2075	2	swept
QG2811	3	swept
QG2813	3	swept
QG2818	4	swept
QG2823	3	swept
QG2824	4	swept
QG2825	3	swept
QG2827	3	swept
QG2828	3	swept
QG2832	2	swept
QG2835	3	swept
QG2836	3	swept
QG2837	3	swept
QG2838	4	swept
QG2841	3	swept
QG2843	4	swept
QG2846	0	divergent
QG2850	4	swept
QG2854	3	swept
QG2855	3	swept
QG2857	4	swept
QG2873	3	swept
QG2874	3	swept
QG2875	3	swept
QG2877	3	swept
QG2932	4	swept
QG536	4	swept
QG556	1	swept
QG557	2	swept
QW947	3	swept
QX1211	0	divergent
QX1212	4	swept
QX1233	1	swept
QX1791	0	divergent
QX1792	1	swept
QX1793	0	divergent
QX1794	0	divergent
RC301	3	swept
TWN2530	4	swept
TWN2542	3	swept
WN2001	2	swept
WN2002	2	swept
WN2033	3	swept
WN2050	1	swept
WN2063	1	swept
WN2064	3	swept
WN2066	3	swept
WN2068	2	swept
WN2069	2	swept
XZ1513	0	divergent
XZ1514	0	divergent
XZ1515	1	swept
XZ1516	0	divergent
XZ1672	3	swept
XZ1734	3	swept
XZ1735	2	swept
XZ1756	3	swept
XZ2018	3	swept
XZ2019	0	divergent
XZ2020	2	swept
XZ2211	0	divergent
